id                       ,date       ,user   ,pc     ,activity
{V1UV8-A3TD31VU-8144RGLH},01/07/2010 18:15:00,NOB0181,PC-3446,Logoff
{B0XW5-O7KC03UQ-8908GPNK},01/07/2010 18:18:00,IKP0472,PC-3842,Logoff
{B3SM4-K5DI04ND-8557DNWV},01/08/2010 05:58:00,NOB0181,PC-3446,Logon
{I8MV3-Y9MH35ZV-8126WOCV},01/08/2010 07:08:00,NGF0157,PC-6056,Logon
{H8SD7-L0CG85SN-1230KULC},01/08/2010 07:49:00,IKP0472,PC-3842,Logon
{U3TQ7-T3BO81UM-6680ULHB},01/08/2010 09:08:00,IKP0472,PC-1313,Logon
{F0YN9-O2TE37WI-1387XKZM},01/08/2010 10:13:00,IKP0472,PC-1313,Logoff
{V0BQ5-Q7KQ46HY-4862BBLM},01/08/2010 10:24:00,NOB0181,PC-4124,Logon
{F6IS7-W9DJ53MG-2023PGWE},01/08/2010 10:35:00,NOB0181,PC-4124,Logoff
{G0LL9-E2CI24SE-4479PLQU},01/08/2010 12:08:00,IKP0472,PC-7500,Logon
{B6KN7-E0WR41GQ-3901LJLB},01/08/2010 13:34:00,IKP0472,PC-7500,Logoff
{W2TH9-D4YF43AB-5293AYVQ},01/08/2010 17:15:00,NGF0157,PC-6056,Logoff
{N3EY2-Y5HC19HQ-6065PEQX},01/08/2010 17:35:00,NOB0181,PC-3446,Logoff
{X5AN2-D4PG46CZ-0559OKMQ},01/08/2010 18:01:00,IKP0472,PC-3842,Logoff
{I2YA1-N9DU72PS-9210ESZV},01/08/2010 20:46:00,IKP0472,PC-3842,Logon
{Z9RS5-H2ES71JF-9724JOMZ},01/08/2010 22:06:00,IKP0472,PC-3842,Logoff
{U1TW2-A2PY34QN-8152VITQ},01/11/2010 05:56:00,NOB0181,PC-3446,Logon
{M5MI0-Y5ZF30MW-6458LWST},01/11/2010 07:12:00,NGF0157,PC-6056,Logon
{K2NP4-W7SN59MJ-9455RWRU},01/11/2010 07:58:00,IKP0472,PC-3842,Logon
{Y0YR7-F8HO21TG-0922CIMR},01/11/2010 09:21:00,IKP0472,PC-1313,Logon
{D9ZE6-W4QT22BT-6278AXKV},01/11/2010 10:17:00,IKP0472,PC-1313,Logoff
{U5DX1-Y3KQ85NN-4540ICKH},01/11/2010 11:31:00,NGF0157,PC-4124,Logon
{X8QP2-R9PF04NS-7382OSEL},01/11/2010 12:07:00,NGF0157,PC-4124,Logoff
{J4OF5-B5TH96DZ-3739TFNN},01/11/2010 17:10:00,NGF0157,PC-6056,Logoff
{S0IH6-F6QK43KC-9490JLGI},01/11/2010 17:55:00,NOB0181,PC-3446,Logoff
{G4YH2-Y9US64MO-9725OXKI},01/11/2010 18:04:00,IKP0472,PC-3842,Logoff
{S0DH4-N8SI19HP-2117PKOM},01/12/2010 07:04:00,NGF0157,PC-6056,Logon
{N8BV0-A1QB12LB-6996ANKA},01/12/2010 07:20:00,NOB0181,PC-3446,Logon
{R5NV2-J2YS18KT-8021APSB},01/12/2010 07:54:00,IKP0472,PC-3842,Logon
{L5LB4-U7KV75BI-0990YAKT},01/12/2010 11:43:00,NGF0157,PC-8267,Logon
{T9QK9-J8XJ66OQ-3155SFAA},01/12/2010 12:01:00,NGF0157,PC-8267,Logoff
{M9YR7-I4DJ74WH-7895ZODG},01/12/2010 12:38:00,IKP0472,PC-5758,Logon
{S7KG3-H4QI38MU-7732IBWT},01/12/2010 13:05:00,IKP0472,PC-4124,Logon
{A5PS2-F2OG59IT-4774TJDO},01/12/2010 13:56:00,IKP0472,PC-4124,Logoff
{F6XW0-S1GR68ET-7548IYAY},01/12/2010 14:09:00,IKP0472,PC-5758,Logoff
{N6FG7-W0LS05BO-5513NDFP},01/12/2010 17:23:00,NGF0157,PC-6056,Logoff
{S5HN6-L9EX52QG-3709LGSH},01/12/2010 17:33:00,NOB0181,PC-3446,Logoff
{T4GF8-B5HV73PR-3316FHBY},01/12/2010 18:14:00,IKP0472,PC-3842,Logoff
{C3OB0-E4LU58CN-0288MBBY},01/12/2010 22:54:00,NOB0181,PC-3446,Logon
{X5AY3-Y5TS30EG-8383TDZS},01/12/2010 23:16:00,NOB0181,PC-3446,Logoff
{R3TW4-L0FH77PU-5311RMZI},01/13/2010 07:05:00,NOB0181,PC-3446,Logon
{B4VI7-Y3UA29MJ-9466CQUS},01/13/2010 07:08:00,NGF0157,PC-6056,Logon
{K0XX9-O1JD34BL-4402GQPF},01/13/2010 07:54:00,IKP0472,PC-3842,Logon
{H7JY1-Z1TA79FU-8087RDHG},01/13/2010 11:46:00,IKP0472,PC-5758,Logon
{Z4AG5-N5OL37PN-3014ZDYD},01/13/2010 12:24:00,IKP0472,PC-6056,Logon
{E4JL5-P5YW40ZS-8591GREP},01/13/2010 12:54:00,IKP0472,PC-5758,Logoff
{I4FM4-L6IH81WQ-6192EEOY},01/13/2010 13:26:00,IKP0472,PC-6056,Logoff
{C1SQ7-I1AI32DE-4540JCPI},01/13/2010 17:22:00,NGF0157,PC-6056,Logoff
{K3CJ4-E6UX56IG-1313POKM},01/13/2010 18:10:00,NOB0181,PC-3446,Logoff
{C3YI6-U3IV89DI-9239ZHSM},01/13/2010 18:13:00,IKP0472,PC-3842,Logoff
{U5QN4-S0NQ23NF-8536VRBS},01/14/2010 05:31:00,NOB0181,PC-3446,Logon
{E2EV6-W9MF35QK-4741OUFA},01/14/2010 07:02:00,NGF0157,PC-6056,Logon
{K7SW4-M5WW09QS-8739VMIH},01/14/2010 08:05:00,IKP0472,PC-3842,Logon
{X3LN2-Z6MN08EE-7861TAWA},01/14/2010 08:30:00,NOB0181,PC-4124,Logon
{B3XE9-A8SR22XI-8516BFNB},01/14/2010 09:04:00,NOB0181,PC-4124,Logoff
{L9UG8-P3SQ11FF-0325ISHG},01/14/2010 10:44:00,NGF0157,PC-8267,Logon
{W9RC9-U9ZW18GS-8764PGKL},01/14/2010 11:04:00,NGF0157,PC-8267,Logoff
{J9EK3-S2RS04DF-6068ZKDB},01/14/2010 11:08:00,IKP0472,PC-1313,Logon
{J7CI8-D7TD91NA-6476DKRW},01/14/2010 11:38:00,IKP0472,PC-1313,Logoff
{F2UO7-M5OG59OT-7424TQGW},01/14/2010 17:35:00,NGF0157,PC-6056,Logoff
{O1WU8-T0QV09EL-9499WHWW},01/14/2010 18:02:00,IKP0472,PC-3842,Logoff
{S8BC4-L6IT71SS-1957SEDU},01/14/2010 18:30:00,NOB0181,PC-3446,Logoff
{T5JZ3-D2CO66UR-8635NTHB},01/14/2010 20:12:00,IKP0472,PC-3842,Logon
{X9MC4-P5ZZ91WO-3679UABG},01/14/2010 20:59:00,IKP0472,PC-3842,Logoff
{U3CL3-H7TG39ZU-7571YAOQ},01/15/2010 07:07:00,NGF0157,PC-6056,Logon
{S3OD9-V8ZO10BP-0436UIEU},01/15/2010 07:18:00,NOB0181,PC-3446,Logon
{Q3PB6-D2WY38IL-2917CCLI},01/15/2010 08:01:00,IKP0472,PC-3842,Logon
{J4QU2-Z5AJ74UI-5320PAVH},01/15/2010 09:44:00,IKP0472,PC-4124,Logon
{V4JP2-E2GN77TY-5939ZEGI},01/15/2010 10:39:00,IKP0472,PC-4124,Logoff
{G4UD0-V9DV36QP-2800XLDX},01/15/2010 13:44:00,IKP0472,PC-7500,Logon
{V3BL1-O8KA61FE-2806GHKO},01/15/2010 15:14:00,IKP0472,PC-7500,Logoff
{S0IT3-T3FZ49ZD-2028KXLT},01/15/2010 17:18:00,NGF0157,PC-6056,Logoff
{W0DS1-C5JB76PI-3974QMIS},01/15/2010 17:31:00,NOB0181,PC-3446,Logoff
{D3UL4-W0UH76FW-1793BHVE},01/15/2010 18:04:00,IKP0472,PC-3842,Logoff
{G7XX0-V3HM60WD-9482KQEF},01/18/2010 07:10:00,NOB0181,PC-3446,Logon
{D7YY3-Z9AP99FO-9172ZEXC},01/18/2010 07:11:00,NGF0157,PC-6056,Logon
{B8HI9-B1JT58CP-6409EXEC},01/18/2010 07:50:00,IKP0472,PC-3842,Logon
{U4XG6-K3JE04GV-5160RVKT},01/18/2010 09:59:00,IKP0472,PC-7500,Logon
{F0KN9-R9OG23WA-5559DYLY},01/18/2010 10:58:00,IKP0472,PC-7500,Logoff
{S6XL2-G0GC03TZ-8435CMWQ},01/18/2010 17:18:00,NGF0157,PC-6056,Logoff
{F1SS7-G2GB58DJ-4266FAEH},01/18/2010 18:14:00,IKP0472,PC-3842,Logoff
{V7TW8-N1IN18WA-1882LXSH},01/18/2010 18:14:00,NOB0181,PC-3446,Logoff
{D4ZL9-Q8GX90KK-3248UQNK},01/18/2010 20:27:00,IKP0472,PC-3842,Logon
{K1PT9-Y5CH53KJ-4602DPSB},01/18/2010 21:21:00,IKP0472,PC-3842,Logoff
{R2ML9-M5IV28CA-0872FFFQ},01/19/2010 07:10:00,NGF0157,PC-6056,Logon
{R4GA0-C5MY70SX-6492BVWW},01/19/2010 07:29:00,NOB0181,PC-3446,Logon
{Z9VO5-H6MI23HR-9615GBWV},01/19/2010 07:45:00,IKP0472,PC-3842,Logon
{X1DS9-V1XM54PU-6887XMMX},01/19/2010 09:47:00,NOB0181,PC-4124,Logon
{L0RA8-N7SF98NR-6474RQDV},01/19/2010 10:17:00,NOB0181,PC-4124,Logoff
{C1GV7-E6IC37HU-3228MWPY},01/19/2010 10:32:00,IKP0472,PC-6056,Logon
{B8NW3-H0WD24OX-4377MQEQ},01/19/2010 11:29:00,IKP0472,PC-6056,Logoff
{F7OE7-U1LL44AN-7987NAAT},01/19/2010 12:51:00,IKP0472,PC-4124,Logon
{F8IC5-H0BY45NL-6194TEXV},01/19/2010 13:46:00,IKP0472,PC-4124,Logoff
{N8ZR4-D1UF69SS-2884FHNQ},01/19/2010 17:07:00,NGF0157,PC-6056,Logoff
{J6LD8-X0DQ38YG-7331KLVR},01/19/2010 17:43:00,NOB0181,PC-3446,Logoff
{K3DA4-H9KT59VI-7664YJHE},01/19/2010 18:16:00,IKP0472,PC-3842,Logoff
{F0ND7-U3QU65BC-8014DGSF},01/19/2010 21:33:00,IKP0472,PC-3842,Logon
{R0KC5-Q7KX56HU-4678ZJKE},01/19/2010 22:19:00,IKP0472,PC-3842,Logoff
{H1RE1-N3LO15GI-7113BYQR},01/20/2010 05:53:00,NOB0181,PC-3446,Logon
{A9NM4-E7II25OJ-8045CMIZ},01/20/2010 07:09:00,NGF0157,PC-6056,Logon
{C6AJ6-U5JC84VT-4211WFVE},01/20/2010 07:59:00,IKP0472,PC-3842,Logon
{P3WK6-S2KI28DP-8585ITOF},01/20/2010 12:18:00,IKP0472,PC-4124,Logon
{F7RX1-S9EO67TO-5976XNWK},01/20/2010 13:54:00,IKP0472,PC-4124,Logoff
{T0KA5-V7ZQ85RL-3888ITPS},01/20/2010 17:03:00,NGF0157,PC-6056,Logoff
{M5JU3-F1BN45CF-2332TNZV},01/20/2010 17:42:00,NOB0181,PC-3446,Logoff
{I7BQ6-D8LP59AT-5459UXRE},01/20/2010 18:03:00,IKP0472,PC-3842,Logoff
{J0BG7-Z6DB72OJ-4665FQKN},01/20/2010 20:13:00,IKP0472,PC-3842,Logon
{U6SB3-K7RZ07FW-8426SJPT},01/20/2010 20:46:00,IKP0472,PC-3842,Logoff
{L9PQ9-R3XY35HX-8384BXFN},01/20/2010 22:42:00,NOB0181,PC-3446,Logon
{Y1YN0-B6UW41NS-9769TDLI},01/20/2010 23:24:00,NOB0181,PC-3446,Logoff
{B7OO2-G3QL06NQ-6757BYCU},01/21/2010 07:01:00,NGF0157,PC-6056,Logon
{P5DE0-Q2EJ71FV-7442EVAB},01/21/2010 07:15:00,NOB0181,PC-3446,Logon
{A5NY3-T9IK65EF-8117WWYZ},01/21/2010 07:48:00,IKP0472,PC-3842,Logon
{G2TL8-D7WM33OE-6881OGXB},01/21/2010 09:02:00,IKP0472,PC-5758,Logon
{W8PE5-L1YR97MJ-2403BFXJ},01/21/2010 09:05:00,IKP0472,PC-6056,Logon
{M4BZ3-S5VV25EQ-3685JXNJ},01/21/2010 09:55:00,IKP0472,PC-6056,Logoff
{B0NA5-K5XO59MU-3277HMNK},01/21/2010 10:02:00,IKP0472,PC-5758,Logoff
{H0TL3-R4ND37OY-1697SJYO},01/21/2010 17:04:00,NGF0157,PC-6056,Logoff
{L5HB0-S4ID61QX-3463POJI},01/21/2010 18:01:00,IKP0472,PC-3842,Logoff
{O1QB5-B2EY55AS-6204ZWEV},01/21/2010 18:26:00,NOB0181,PC-3446,Logoff
{N3AR3-C3WE22YI-1447JKLO},01/22/2010 05:33:00,NOB0181,PC-3446,Logon
{Q5ER9-P0JD05XR-8619PWNT},01/22/2010 07:12:00,NGF0157,PC-6056,Logon
{K6UV4-P0GJ67YK-6290UEMA},01/22/2010 07:46:00,IKP0472,PC-3842,Logon
{E2GV0-T2JO83KJ-6656NZHI},01/22/2010 08:25:00,NOB0181,PC-4124,Logon
{N7LC6-M9WQ94PK-9033QSPK},01/22/2010 08:57:00,NOB0181,PC-4124,Logoff
{H8KE7-U5DA66IJ-1628LJHR},01/22/2010 11:56:00,NGF0157,PC-4124,Logon
{T4UM3-O2HI77WR-7461FKIO},01/22/2010 12:16:00,NGF0157,PC-4124,Logoff
{M3XG9-R9MF78FF-2611XRRP},01/22/2010 13:43:00,IKP0472,PC-4124,Logon
{J9HP1-Y5GK10HY-8988OSZO},01/22/2010 13:46:00,IKP0472,PC-1313,Logon
{T5BM6-M9XW49XH-2507MONK},01/22/2010 14:25:00,IKP0472,PC-4124,Logoff
{U7YL4-P0DB69RF-3950VGCR},01/22/2010 15:20:00,IKP0472,PC-1313,Logoff
{C6XO0-Y6LK86LY-4738XVOL},01/22/2010 17:11:00,NGF0157,PC-6056,Logoff
{W9NF7-N6PR36ZC-2364FASX},01/22/2010 18:05:00,IKP0472,PC-3842,Logoff
{Z6VS8-O8FU74AK-1865IMGW},01/22/2010 18:14:00,NOB0181,PC-3446,Logoff
{W1GG7-T2KC94BU-5916CYKF},01/25/2010 07:02:00,NGF0157,PC-6056,Logon
{Y1ST5-D4HJ06ZG-4075KGZP},01/25/2010 07:21:00,NOB0181,PC-3446,Logon
{X4FC3-K1AN71HN-6472TUPU},01/25/2010 08:02:00,IKP0472,PC-3842,Logon
{Q2QE0-B5EC27SG-1433UZMU},01/25/2010 09:56:00,IKP0472,PC-1313,Logon
{I8YB7-B4EV88DT-2747ALUN},01/25/2010 11:14:00,IKP0472,PC-1313,Logoff
{T4DN1-A3XW48YO-1955LTWL},01/25/2010 17:11:00,NGF0157,PC-6056,Logoff
{R6EU2-M6IZ70JE-5143OQJX},01/25/2010 17:49:00,NOB0181,PC-3446,Logoff

NOTE considering level of users suspiciousness:

NGF0157 : Normal/baseline user. Logs on to his assigned PC-6056 consistently around 07:00–07:12, logs off around 17:00–17:35. Occasionally uses shared PCs (PC-4124, PC-8267) briefly mid-morning. Low risk profile.
IKP0472 — Suspicious multi-PC user. Assigned to PC-3842 but regularly logs into 2–3 additional machines per day (PC-4124, PC-5758, PC-1313, PC-7500 — and even PC-6056, another user's machine). Also has frequent after-hours logons (20:00+). High risk signals.
NOB0181 — Anomalous hours user. Assigned to PC-3446 but has irregular start times — sometimes as early as 05:30. Also accesses PC-4124 mid-day and occasionally logs back on at 22:00+. Medium-to-high risk profile.
